"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"1","Nikola Jokic","DEN","PF,C DTD","1","1","1.0","0.0"
"2","Joel Embiid","PHI","PF,C DTD","2","10","4.1","2.7"
"3","Giannis Antetokounmpo","MIL","PF,C DTD","2","8","4.9","1.8"
"4","Kevin Durant","BKN","SF,PF","2","8","5.7","2.4"
"5","Stephen Curry","GSW","PG,SG","2","17","6.3","4.8"
"6","Jayson Tatum","BOS","SF,PF DTD","3","10","6.7","2.2"
"7","Luka Doncic","DAL","PG,SG","3","11","7.6","2.7"
"8","Karl-Anthony Towns","MIN","C","5","12","7.7","2.1"
"9","James Harden","PHI","PG,SG","3","24","9.6","7.0"
"10","Trae Young","ATL","PG DTD","4","16","10.4","4.6"
"11","Damian Lillard","POR","PG","7","16","12.4","2.8"
"12","LaMelo Ball","CHA","PG,SG","6","24","14.4","6.2"
"13","Anthony Davis","LAL","PF,C DTD","12","27","16.4","5.6"
"14","LeBron James","LAL","PG,SG,SF,PF","10","35","17.1","9.0"
"15","Paul George","LAC","SF,PF,SG DTD","13","26","19.6","5.1"
"16","Devin Booker","PHO","SG,SF,PG DTD","16","31","20.9","5.2"
"17","Bam Adebayo","MIA","PF,C DTD","15","29","21.7","4.9"
"18","Domantas Sabonis","SAC","PF,C DTD","14","37","23.1","8.3"
"19","Jimmy Butler","MIA","SF,PF,SG DTD","15","48","23.1","10.9"
"20","Shai Gilgeous-Alexander","OKC","PG,SG","19","30","24.4","3.9"
"21","Tyrese Haliburton","IND","PG,SG DTD","9","56","24.6","15.6"
"22","Donovan Mitchell","CLE","PG,SG","20","32","25.9","3.8"
"23","Bradley Beal","WAS","SG,SF","11","45","26.3","11.3"
"24","Dejounte Murray","ATL","PG,SG","14","48","26.3","10.9"
"25","Rudy Gobert","MIN","C","19","39","27.4","6.4"
"26","Fred VanVleet","TOR","PG,SG DTD","19","45","27.9","8.0"
"27","Chris Paul","PHO","PG DTD","21","35","28.0","4.7"
"28","Kyrie Irving","BKN","PG,SG DTD","10","84","28.6","24.2"
"29","Ja Morant","MEM","PG","5","55","30.9","14.7"
"30","Anthony Edwards","MIN","SG,SF","15","51","32.7","11.0"
"31","Nikola Vucevic","CHI","C","14","42","32.9","9.1"
"32","Deandre Ayton","PHO","C DTD","22","43","33.0","8.1"
"33","DeMar DeRozan","CHI","SF,PF,SG DTD","21","58","35.4","10.9"
"34","Robert Williams III","BOS","C,PF DTD","18","47","35.7","9.8"
"35","Jrue Holiday","MIL","PG,SG","28","44","35.9","5.0"
"36","Pascal Siakam","TOR","PF,C","27","62","36.3","11.4"
"37","Zach LaVine","CHI","SG,SF","19","47","37.0","9.0"
"38","Darius Garland","CLE","PG,SG","18","64","37.3","14.8"
"39","Jaylen Brown","BOS","SG,SF DTD","19","53","38.3","11.2"
"40","Khris Middleton","MIL","SF,PF,SG DTD","29","56","39.4","9.1"
"41","Kristaps Porzingis","WAS","PF,C DTD","18","49","39.7","9.8"
"42","Myles Turner","IND","PF,C","23","64","41.9","11.8"
"43","Jarrett Allen","CLE","C","24","76","47.7","15.8"
